('Active', 4.027413086860624)
('Life', 4.049109364115832)
('Specialty', 3.9126873744398085)
('Restaurants', 3.441893166279344)
('Dim', 3.306291390728477)
('Sushi', 3.583922261484099)
('Services', 3.6691343103187792)
('Plumbing', 3.807030665669409)
('Local', 3.7163583252190846)
('Home', 3.5924208860759492)
('Kitchen', 3.721234309623431)
('Garden', 3.5747188414728086)
('Installation', 3.9606934431857193)
('Repair', 3.7611419621244484)
('Centers', 3.4938727873954485)
('Couriers', 3.2918848167539267)
('Delivery', 3.4746121297602257)
('Printing', 3.7828068043742404)
('Beauty', 3.830978715494005)
('Spas', 3.858318724077479)
('Salons', 3.8252121117770685)
('Stylists', 4.252295918367347)
('Cosmetics', 3.5626163873370578)
('Supply', 3.5675057208237986)
('Massage', 4.1478453038674035)
('Professional', 3.8138674641901464)
('Computers', 3.3288364249578413)
('Providers', 2.6926701570680627)
('Design', 4.020246478873239)
('Brunch', 3.5760081769187884)
('Tacos', 3.988929889298893)
('Tex', 2.9504748982360924)
('Mex', 2.9504748982360924)
('Nightlife', 3.5331042382588773)
('Pubs', 3.5086663456909)
('Irish', 3.4326923076923075)
('Pizza', 3.3181951793062905)
('Instruction', 4.149903907751441)
('Event', 3.811682049869128)
('Photographers', 4.383975026014568)
('Medical', 3.7278644563627497)
('Physical', 4.072727272727272)
('Therapy', 4.219039451114923)
('Gyms', 4.025938830816879)
('Arcades', 3.6553524804177546)
('Arts', 3.9220545977011496)
('Entertainment', 3.8273747195213166)
('Automotive', 3.528705597212755)
('Dealers', 3.200032819166393)
('Strip', 3.2717391304347827)
('Adult', 3.6158113730929267)
('Dance', 3.67053998632946)
('Comfort', 3.4604651162790696)
('Accessories', 3.586115326251897)
('Shoe', 3.521968854282536)
('Stores', 3.4248592798211117)
('Goods', 3.7575569358178056)
('Windshield', 4.025442477876106)
('Detailing', 3.6941122355105795)
('Hotels', 3.1575421575421574)
('Towing', 3.5373475609756095)
('Body', 3.881924198250729)
('Shops', 3.9206484641638224)
('Vegan', 4.019457547169812)
('Store', 3.1871713985278656)
('Decor', 3.6298823529411766)
('Tapas', 3.801560758082497)
('Tea', 3.55682639056104)
('Frozen', 3.699891461649783)
('Yogurt', 3.699891461649783)
('Estate', 3.4661939313984167)
('Credit', 2.792619926199262)
('Mortgage', 3.464200477326969)
('Brokers', 3.351798561151079)
('American', 3.422456279809221)
('New', 3.5026292725679227)
('Rentals', 4.203615604186489)
('Obstetricians', 3.297180043383948)
('Gynecologists', 3.297180043383948)
('Glass', 4.032589285714286)
('Vehicle', 4.266528925619835)
('Wraps', 4.136666666666667)
('Interior', 3.7846467391304346)
('Rugs', 3.6241830065359477)
('Furniture', 3.547872340425532)
('Community', 3.7397798742138364)
('Non', 3.712305025996534)
("Children's", 3.3267857142857142)
('Desserts', 3.8631452581032413)
('European', 3.9769585253456223)
('Wine', 3.7927876359473385)
('Venues', 3.7226277372262775)
('Cupcakes', 4.056213017751479)
('Convenience', 3.136582753079807)
('Gas', 3.0074074074074075)
('Stations', 3.379945738186751)
('Grocery', 3.4291338582677167)
('Heating', 3.7251461988304095)
('Air', 3.7710540992749584)
('HVAC', 3.7251461988304095)
('Persian', 3.675675675675676)
('Iranian', 3.675675675675676)
('Country', 3.6650485436893203)
('Middle', 3.65698041692988)
('Spirits', 3.7392461197339246)
('Kids', 4.074324324324325)
('Care', 3.8833333333333333)
('Polish', 4.0125)
('Caterers', 3.808316831683168)
('Landscape', 3.7866043613707165)
('Loss', 4.112456747404845)
('Korean', 3.659263271939328)
('Building', 3.56838905775076)
('Paint', 4.1106719367588935)
('General', 4.005407232173032)
('Eyebrow', 4.303061224489796)
('Nurseries', 3.6367069486404833)
('Custom', 3.96028880866426)
('Cakes', 3.96028880866426)
('Cafes', 3.8078156897054534)
('Portuguese', 3.6847389558232932)
('Oral', 4.0342163355408385)
('Surgeons', 3.9230291744258223)
('Cosmetic', 4.008885298869144)
('Orthodontists', 3.9659206510681586)
('Tires', 3.530380830124091)
('Windows', 3.6826697892271665)
('Holistic', 4.3801980198019805)
('Weight', 4.10479797979798)
('Nutritionists', 4.360367892976589)
('Mediterranean', 3.7292802617230096)
('Public', 3.4320685434516522)
('Coach', 4.608695652173913)
('Hospitals', 3.0045454545454544)
('Rehabilitation', 3.590106007067138)
('Center', 3.5689320388349515)
('Artists', 4.302731411229135)
('Extensions', 4.299618320610687)
('Donuts', 3.3281653746770026)
('Family', 3.3690265486725663)
('Practice', 3.16015132408575)
('Educational', 4.125454545454545)
('Books', 3.8505523066926575)
('Mags', 3.8211624441132637)
('Video', 3.8313313313313313)
('Bookstores', 3.9079189686924494)
('Butcher', 4.15668202764977)
('Designers', 3.8620689655172415)
('Cemeteries', 3.7846153846153845)
('Technicians', 4.169064748201439)
('Maintenance', 4.22887323943662)
('Sip', 4.509708737864078)
('Crafts', 3.886781929726715)
('Art', 4.1334172435494025)
('Classes', 4.444258639910814)
('Hobby', 3.7707535121328224)
('Spaces', 3.7817324185248715)
('Security', 3.6305418719211824)
('Size', 3.608187134502924)
('Watches', 3.8542713567839195)
('Vietnamese', 3.610031104199067)
('Thai', 3.5675951086956523)
('Radiologists', 3.0681818181818183)
('Airports', 3.045673076923077)
('Limos', 3.451492537313433)
('Airport', 3.2475)
('Galleries', 4.21830985915493)
('Lawyers', 3.926553672316384)
('Law', 4.0639894086496025)
('Personal', 4.126373626373627)
('Injury', 4.138372093023256)
('Roofing', 3.5555555555555554)
('Optometrists', 3.7032838154808445)
('Hot', 3.6483739837398375)
('Vegetarian', 3.8677649154051648)
('Thrift', 3.477438136826783)
('Flooring', 3.886013215859031)
('Employment', 3.082474226804124)
('Talent', 3.8205128205128207)
('Formal', 3.5143312101910826)
('Veterinarians', 3.907782101167315)
('Creperies', 3.764367816091954)
('Newspapers', 3.6176470588235294)
('Magazines', 3.6176470588235294)
('Buffets', 3.1019036954087347)
('Film', 4.413551401869159)
('Production', 4.435897435897436)
('Walk', 2.902027027027027)
('in', 2.902027027027027)
('Clinics', 3.4878048780487805)
('Urgent', 3.045751633986928)
('Consulting', 4.252)
('Markets', 3.82099907493062)
('Schools', 3.8906748140276304)
('Cooking', 4.175824175824176)
('Laser', 3.707112970711297)
('Chocolatiers', 3.9667381974248928)
('Pet', 3.9553747534516766)
('Sitting', 4.066587864460205)
('Groomers', 3.9091203104786545)
('Diners', 3.4424284717376135)
('Out', 4.353073463268366)
('Door', 4.0103668261563)
('Dive', 3.6463223787167447)
('Rim', 4.080441640378549)
('Costumes', 3.486842105263158)
('Barbeque', 3.5443770672546857)
('Turkish', 3.889705882352941)
('Accountants', 3.7953846153846156)
('Oil', 3.6164631388511985)
('Change', 3.6081697854860795)
('Herbs', 4.339130434782609)
('Gear', 3.631546894031669)
('Gastropubs', 3.641831238779174)
('Investing', 3.318421052631579)
('Casinos', 3.2702127659574467)
('Outdoor', 3.706611570247934)
('Ski', 3.6825396825396823)
('Moroccan', 3.8)
('Sugaring', 4.714285714285714)
